movieId,title,genres,imdbId,tmdbId,Imdb Link,Poster,IMDB Score
11,"American President, The (1995)",Comedy|Drama|Romance,112346,9087.0,http://www.imdb.com/title/tt0112346,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI5NDU2NDYzOF5BMl5BanBnXkFtZTYwNDk5MDI5._V1_UY268_CR4,0,182,268_AL_.jpg",6.8
12,Dracula: Dead and Loving It (1995),Comedy|Horror,112896,12110.0,http://www.imdb.com/title/tt0112896,"https://images-na.ssl-images-amazon.com/images/M/MV5BZWQ0ZDFmYzMtZGMyMi00NmYxLWE0MGYtYzM2ZGNhMTE1NTczL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjM5ODMxODc@._V1_UX182_CR0,0,182,268_AL_.jpg",5.8
13,Balto (1995),Adventure|Animation|Children,112453,21032.0,http://www.imdb.com/title/tt0112453,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjBhNmFlZjMtMzhlYy00NDBlLWFiMjctMmE0ZjgwOGM2MTNmXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_UX182_CR0,0,182,268_AL_.jpg",7.1
14,Nixon (1995),Drama,113987,10858.0,http://www.imdb.com/title/tt0113987,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzBlOWY0ZmEtZjdkYS00ZGU0LWEwN2YtYzBkNDM5ZDBjMmI1XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX182_CR0,0,182,268_AL_.jpg",7.1
15,Cutthroat Island (1995),Action|Adventure|Romance,112760,1408.0,http://www.imdb.com/title/tt0112760,"https://images-na.ssl-images-amazon.com/images/M/MV5BMDg2YTI0YmQtYzgwMi00Zjk4LWJkZjgtYjg0ZDE2ODUzY2RlL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_UX182_CR0,0,182,268_AL_.jpg",5.6
16,Casino (1995),Crime|Drama,112641,524.0,http://www.imdb.com/title/tt0112641,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTcxOWYzNDYtYmM4YS00N2NkLTk0NTAtNjg1ODgwZjAxYzI3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX182_CR0,0,182,268_AL_.jpg",8.2
17,Sense and Sensibility (1995),Drama|Romance,114388,4584.0,http://www.imdb.com/title/tt0114388,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzk1MjU3MDQyMl5BMl5BanBnXkFtZTcwNjc1OTM2MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",7.7
18,Four Rooms (1995),Comedy,113101,5.0,http://www.imdb.com/title/tt0113101,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDc3Y2YwMjUtYzlkMi00MTljLTg1ZGMtYzUwODljZTI1OTZjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",6.7
19,Ace Ventura: When Nature Calls (1995),Comedy,112281,9273.0,http://www.imdb.com/title/tt0112281,"https://images-na.ssl-images-amazon.com/images/M/MV5BNGFiYTgxZDctNGI4OS00MWU1LWIwOGUtZmMyNGQxYjVkZjQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",6.3
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,113845,11517.0,http://www.imdb.com/title/tt0113845,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDEwNzcyNjkzNl5BMl5BanBnXkFtZTcwNzQyMzYxMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg",5.6
21,Get Shorty (1995),Comedy|Crime|Thriller,113161,8012.0,http://www.imdb.com/title/tt0113161,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwODYzNDY4Ml5BMl5BanBnXkFtZTcwODkwNTgzNA@@._V1_UX182_CR0,0,182,268_AL_.jpg",6.9
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,112722,1710.0,http://www.imdb.com/title/tt0112722,"https://images-na.ssl-images-amazon.com/images/M/MV5BYWUwNDk2ZDYtNmFkMi00NjE5LWE1M2ItYTRkNTFjZDU3ZDU4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",6.6
23,Assassins (1995),Action|Crime|Thriller,112401,9691.0,http://www.imdb.com/title/tt0112401,"https://images-na.ssl-images-amazon.com/images/M/MV5BMGY2OWI5ZjQtYjY0Zi00Y2M4LWEwMmMtOTJhODYxYTExNWZlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",6.3
24,Powder (1995),Drama|Sci-Fi,114168,12665.0,http://www.imdb.com/title/tt0114168,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM2NDczNjYwMV5BMl5BanBnXkFtZTYwNTI3Mjc4._V1_UX182_CR0,0,182,268_AL_.jpg",6.5
25,Leaving Las Vegas (1995),Drama|Romance,113627,451.0,http://www.imdb.com/title/tt0113627,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDg3MDM5NTI0MF5BMl5BanBnXkFtZTcwNDY0NDk0NA@@._V1_UX182_CR0,0,182,268_AL_.jpg",7.6
26,Othello (1995),Drama,114057,16420.0,http://www.imdb.com/title/tt0114057,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTIxMzA2ODk2NV5BMl5BanBnXkFtZTcwMzQ4ODIyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg",6.9
27,Now and Then (1995),Children|Drama,114011,9263.0,http://www.imdb.com/title/tt0114011,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM2MDQ1YjUtMGM0NC00NmFlLTljMDktZjJiNWRhMWYxOWYyXkEyXkFqcGdeQXVyNjgzMjI4ODE@._V1_UX182_CR0,0,182,268_AL_.jpg",6.8
28,Persuasion (1995),Drama|Romance,114117,17015.0,http://www.imdb.com/title/tt0114117,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc5NzAwNDAyN15BMl5BanBnXkFtZTYwMjYzMDc5._V1_UY268_CR1,0,182,268_AL_.jpg",7.7
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,112682,902.0,http://www.imdb.com/title/tt0112682,"https://images-na.ssl-images-amazon.com/images/M/MV5BZGQxZDMwYzYtYmFjNi00NWYyLThjZjAtMDJhODZhYTkyZDNhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY268_CR7,0,182,268_AL_.jpg",7.7
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,115012,37557.0,http://www.imdb.com/title/tt0115012,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgyMzAwOTQyNF5BMl5BanBnXkFtZTcwNDU1MjgxMQ@@._V1_UY268_CR1,0,182,268_AL_.jpg",7.2
31,Dangerous Minds (1995),Drama,112792,9909.0,http://www.imdb.com/title/tt0112792,"https://images-na.ssl-images-amazon.com/images/M/MV5BZjk2YjNkYTYtOTZkNy00ZmRkLWI5ODEtYzA4MTM3MzMyZjhlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",6.4
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,114746,63.0,http://www.imdb.com/title/tt0114746,"https://images-na.ssl-images-amazon.com/images/M/MV5BN2Y2OWU4MWMtNmIyMy00YzMyLWI0Y2ItMTcyZDc3MTdmZDU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",8.0
34,Babe (1995),Children|Drama,112431,9598.0,http://www.imdb.com/title/tt0112431,"https://images-na.ssl-images-amazon.com/images/M/MV5BYjg4ZjUzMzMtYzlmYi00YTcwLTlkOWUtYWFmY2RhNjliODQzXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_UX182_CR0,0,182,268_AL_.jpg",6.8
36,Dead Man Walking (1995),Crime|Drama,112818,687.0,http://www.imdb.com/title/tt0112818,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM3NzA1MjM2N15BMl5BanBnXkFtZTcwMzY3MTMzNA@@._V1_UX182_CR0,0,182,268_AL_.jpg",7.6
38,It Takes Two (1995),Children|Comedy,113442,33689.0,http://www.imdb.com/title/tt0113442,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzdhMGU0MzEtZjg1Ny00YzE5LWE0MGQtMTNiN2UwN2I5ZDBjXkEyXkFqcGdeQXVyNTgzMzU5MDI@._V1_UX182_CR0,0,182,268_AL_.jpg",5.7
39,Clueless (1995),Comedy|Romance,112697,9603.0,http://www.imdb.com/title/tt0112697,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgxODIxODE2MF5BMl5BanBnXkFtZTgwOTA4NjQxMTE@._V1_UX182_CR0,0,182,268_AL_.jpg",6.8
40,"Cry, the Beloved Country (1995)",Drama,112749,34615.0,http://www.imdb.com/title/tt0112749,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTcwMDU1OTEwOF5BMl5BanBnXkFtZTcwMTg5NjEyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",6.9
41,Richard III (1995),Drama|War,114279,31174.0,http://www.imdb.com/title/tt0114279,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI3MzMwMzIxMF5BMl5BanBnXkFtZTYwNTM0Nzc5._V1_UY268_CR2,0,182,268_AL_.jpg",7.5
42,Dead Presidents (1995),Action|Crime|Drama,112819,11443.0,http://www.imdb.com/title/tt0112819,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzE0NTI0MTM5MV5BMl5BanBnXkFtZTcwMzYwMTYyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",6.8
43,Restoration (1995),Drama,114272,35196.0,http://www.imdb.com/title/tt0114272,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE5ODY5MTU5OF5BMl5BanBnXkFtZTYwNjcwNTY5._V1_UY268_CR1,0,182,268_AL_.jpg",6.7
44,Mortal Kombat (1995),Action|Adventure|Fantasy,113855,9312.0,http://www.imdb.com/title/tt0113855,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzJhYjYxMTctNmY4My00NGIzLThmN2MtYjgwMjlmZWNjMTJlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",5.8
45,To Die For (1995),Comedy|Drama|Thriller,114681,577.0,http://www.imdb.com/title/tt0114681,"https://images-na.ssl-images-amazon.com/images/M/MV5BNGZhYzgwNzItNDljNC00MDM4LThiYjEtNDRhNmE5NDk2MTQ0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",6.8
46,How to Make an American Quilt (1995),Drama|Romance,113347,11861.0,http://www.imdb.com/title/tt0113347,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzY3NTQ0NTM0NV5BMl5BanBnXkFtZTcwODkwMzgxMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",6.2
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,114369,807.0,http://www.imdb.com/title/tt0114369,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg",8.6
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,114148,10530.0,http://www.imdb.com/title/tt0114148,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzc4YzhiN2ItY2Y4NC00YTA0LWEyMjEtNzllNTcxZDdjODhiXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_UX182_CR0,0,182,268_AL_.jpg",6.7
49,When Night Is Falling (1995),Drama|Romance,114916,8391.0,http://www.imdb.com/title/tt0114916,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI2OTU5MDMzN15BMl5BanBnXkFtZTcwMTkxNTEzMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg",6.7
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,114814,629.0,http://www.imdb.com/title/tt0114814,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzI1MjI5MDQyOV5BMl5BanBnXkFtZTcwNzE4Mjg3NA@@._V1_UX182_CR0,0,182,268_AL_.jpg",8.6
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,113819,11448.0,http://www.imdb.com/title/tt0113819,"https://images-na.ssl-images-amazon.com/images/M/MV5BMGM1NzM2ZjktNDM5ZS00YmExLTk5ZmYtNDdkNjdkNTdhZWZkXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_UX182_CR0,0,182,268_AL_.jpg",7.1
53,Lamerica (1994),Adventure|Drama,110299,49133.0,http://www.imdb.com/title/tt0110299,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk0MTI5MjU3MF5BMl5BanBnXkFtZTcwMjMzODUyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",7.6
54,"Big Green, The (1995)",Children|Comedy,112499,26441.0,http://www.imdb.com/title/tt0112499,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTMwODc3MDk3Nl5BMl5BanBnXkFtZTcwMTE5NTUyMQ@@._V1_UY268_CR5,0,182,268_AL_.jpg",5.5
55,Georgia (1995),Drama,113158,97406.0,http://www.imdb.com/title/tt0113158,"https://images-na.ssl-images-amazon.com/images/M/MV5BZWJiNjMwYzMtZWU5Yi00NGI0LTg5NGYtZDY4MWRiYjEwYTYzXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX182_CR0,0,182,268_AL_.jpg",6.5
57,Home for the Holidays (1995),Drama,113321,9089.0,http://www.imdb.com/title/tt0113321,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjExMTMyNzU4MV5BMl5BanBnXkFtZTcwMzIwMDkxMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",6.6
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,110877,11010.0,http://www.imdb.com/title/tt0110877,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY5NDI4NjQyOV5BMl5BanBnXkFtZTYwODI1NDE5._V1_UY268_CR3,0,182,268_AL_.jpg",7.7
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,113419,11359.0,http://www.imdb.com/title/tt0113419,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk0NjQ5NzQxMl5BMl5BanBnXkFtZTcwMDc5NjUyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",5.9
61,Eye for an Eye (1996),Drama|Thriller,116260,17182.0,http://www.imdb.com/title/tt0116260,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwMzc5NTk0NF5BMl5BanBnXkFtZTYwOTYyMzU5._V1_UX182_CR0,0,182,268_AL_.jpg",6.1
62,Mr. Holland's Opus (1995),Drama,113862,2054.0,http://www.imdb.com/title/tt0113862,"https://images-na.ssl-images-amazon.com/images/M/MV5BZDZhNDRlZjAtYzdhNy00ZjU1LWFlMDYtNjA5NjliM2Y5ZmVjL2ltYWdlXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_UX182_CR0,0,182,268_AL_.jpg",7.3
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,116126,10607.0,http://www.imdb.com/title/tt0116126,"https://images-na.ssl-images-amazon.com/images/M/MV5BY2NmM2M2MWItNjdlMC00ZWI3LTkwODUtZDNkYWZjYjgzZjY3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",6.6
64,Two if by Sea (1996),Comedy|Romance,118002,19760.0,http://www.imdb.com/title/tt0118002,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY5MDcxNjY5MV5BMl5BanBnXkFtZTYwNDMxMTk5._V1_UX182_CR0,0,182,268_AL_.jpg",5.2
65,Bio-Dome (1996),Comedy,115683,9536.0,http://www.imdb.com/title/tt0115683,"https://images-na.ssl-images-amazon.com/images/M/MV5BYzY0ZjI0NTUtNDE4Yi00OGU2LWExZDMtNTY1MTM3ZWE3MzEyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",4.4
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,116839,11525.0,http://www.imdb.com/title/tt0116839,"https://images-na.ssl-images-amazon.com/images/M/MV5BZGI0ZDZhOGUtZDZiOS00NWE2LThjNzQtYzI3ZGFjODUwZjlkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",2.4
68,French Twist (Gazon maudit) (1995),Comedy|Romance,113149,4482.0,http://www.imdb.com/title/tt0113149,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg3NjczMTU1OF5BMl5BanBnXkFtZTcwOTAzNTQyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",6.4
69,Friday (1995),Comedy,113118,10634.0,http://www.imdb.com/title/tt0113118,"https://images-na.ssl-images-amazon.com/images/M/MV5BYmEwNjNlZTUtNzkwMS00ZTlhLTkyY2MtMjM2MzlmODQyZGVhXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_UX182_CR0,0,182,268_AL_.jpg",7.3
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,116367,755.0,http://www.imdb.com/title/tt0116367,"https://images-na.ssl-images-amazon.com/images/M/MV5BZjk3YmZhMDAtOWUzMS00YjE5LTkxNzAtY2I1NGZjMDA2ZTk0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",7.3
71,Fair Game (1995),Action,113010,11859.0,http://www.imdb.com/title/tt0113010,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ4NjM0MDI1OF5BMl5BanBnXkFtZTcwMDQ1ODMyMQ@@._V1_UY268_CR11,0,182,268_AL_.jpg",4.1
72,Kicking and Screaming (1995),Comedy|Drama,113537,28387.0,http://www.imdb.com/title/tt0113537,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzMjkwMzE4Nl5BMl5BanBnXkFtZTcwNzY0NzMzMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg",7.0
73,"Misérables, Les (1995)",Drama|War,113828,48750.0,http://www.imdb.com/title/tt0113828,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg1NzgyNTk0N15BMl5BanBnXkFtZTYwNjk4MDU5._V1_UY268_CR2,0,182,268_AL_.jpg",7.5
74,Bed of Roses (1996),Drama|Romance,115644,20927.0,http://www.imdb.com/title/tt0115644,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjg4MzcxMzk3M15BMl5BanBnXkFtZTcwNzkzOTMyMQ@@._V1_UY268_CR8,0,182,268_AL_.jpg",6.1
75,Big Bully (1996),Comedy|Drama,115676,36929.0,http://www.imdb.com/title/tt0115676,"https://images-na.ssl-images-amazon.com/images/M/MV5BYzAzMmUyNTYtNTQ4Yi00ZDJmLTliMTAtOTFlY2U0ODNiMGNmXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX182_CR0,0,182,268_AL_.jpg",4.5
76,Screamers (1995),Action|Sci-Fi|Thriller,114367,9102.0,http://www.imdb.com/title/tt0114367,"https://images-na.ssl-images-amazon.com/images/M/MV5BM2M2ZGM0NDUtODRhNS00MjcxLTg3ZWYtYjkyZDJkYmVjOWYwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",6.4
77,Nico Icon (1995),Documentary,113973,124626.0,http://www.imdb.com/title/tt0113973,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTY2MDM2NzcyM15BMl5BanBnXkFtZTcwMjk3MzcyMQ@@._V1_UY268_CR0,0,182,268_AL_.jpg",7.3
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,112744,27526.0,http://www.imdb.com/title/tt0112744,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjkwNWMyZjQtNmU5MS00ZWE1LWE3NzMtNGZjNTlhYzcwNjIzXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX182_CR0,0,182,268_AL_.jpg",6.3
79,"Juror, The (1996)",Drama|Thriller,116731,9623.0,http://www.imdb.com/title/tt0116731,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgwOTc5MjYzNl5BMl5BanBnXkFtZTcwMjYzMTYyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",5.6
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,112445,46785.0,http://www.imdb.com/title/tt0112445,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTE5ODk5MDAwN15BMl5BanBnXkFtZTYwNDA3MjE5._V1_UX182_CR0,0,182,268_AL_.jpg",7.8
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,114660,400.0,http://www.imdb.com/title/tt0114660,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzI0OWEzZmItOGUyOC00M2Y2LWIzNDEtY2EzYzAwNWI0ZDkyXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_UX182_CR0,0,182,268_AL_.jpg",6.8
82,Antonia's Line (Antonia) (1995),Comedy|Drama,112379,880.0,http://www.imdb.com/title/tt0112379,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgwNjkwOTQ5NV5BMl5BanBnXkFtZTcwNjc3ODAyMQ@@._V1_UY268_CR1,0,182,268_AL_.jpg",7.5
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,114039,146599.0,http://www.imdb.com/title/tt0114039,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI4NDk2MDcyNV5BMl5BanBnXkFtZTcwMTQxNTMyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",7.2
85,Angels and Insects (1995),Drama|Romance,112365,8447.0,http://www.imdb.com/title/tt0112365,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTgwMTExNjk2M15BMl5BanBnXkFtZTcwNzQxNTEzMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg",7.0
86,White Squall (1996),Action|Adventure|Drama,118158,10534.0,http://www.imdb.com/title/tt0118158,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI5NjIzMTI5OV5BMl5BanBnXkFtZTcwMjY0MzAyMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg",6.6
87,Dunston Checks In (1996),Children|Comedy,116151,17414.0,http://www.imdb.com/title/tt0116151,"https://images-na.ssl-images-amazon.com/images/M/MV5BN2RhOTA4YzAtNTg3NC00NmYxLWI1YjQtYzM4NTJlYzVhZGYwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",5.3
88,Black Sheep (1996),Comedy,115697,13997.0,http://www.imdb.com/title/tt0115697,"https://images-na.ssl-images-amazon.com/images/M/MV5BYjc2NzU0YjUtYzkyNS00NjcwLWJiM2QtM2Y3YjFhMTQ0M2I3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",6.2
89,Nick of Time (1995),Action|Thriller,113972,2086.0,http://www.imdb.com/title/tt0113972,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE1OTk4OTM2NF5BMl5BanBnXkFtZTYwNzE4OTc4._V1_UY268_CR3,0,182,268_AL_.jpg",6.3
92,Mary Reilly (1996),Drama|Horror|Thriller,117002,9095.0,http://www.imdb.com/title/tt0117002,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM2MzEzNTc2NF5BMl5BanBnXkFtZTYwNTI5NjU5._V1_UY268_CR0,0,182,268_AL_.jpg",5.8
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,114825,12158.0,http://www.imdb.com/title/tt0114825,"https://images-na.ssl-images-amazon.com/images/M/MV5BNWFlYjJiYzUtNWE1YS00YzM5LTkxYzMtN2FlMjI4NTNlNzExXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",4.5
